Sample Name/Number;Species Name;Collection Date (DD/MM/YYYY);Sample Station;Location;Latitude;Longitude;Determiner;Sex;Other Notes;Max Feret Diameter (max);Max Feret Diameter (mean);Max Feret Diameter (std. dev.);Perimeter (mean);Perimeter (std. dev.);Area (mean);Area(std. dev.);Holes (mean);Holes (std. dev.);Area+Holes (mean);Area+Holes (std. dev.);Exposure Time (µs);Framerate (FPS);Light Intensity (%);Aperture;Image Path;Operator Name;Date (DD/MM/YYYY HH:MM)
#0000_0;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;685;430;251;2154;1465;11492;8661;2050;1761;13543;10371;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:14
#0000_0;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;365;275;155;682;189;1583;454;34;57;1617;397;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:15
#0000_0;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;82;82;0;176;0;506;0;1;0;507;0;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:16
#0000_0;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;521;325;76;703;221;1157;1003;31;165;1188;1162;2000;50;100;3,8;\images\Expo_2000_Ap_3.8\Test Sample\#0000\#0000_0;MRJ;23/09/2021 15:43:28
#0000_1;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;414;231;167;572;426;2093;1691;3;2;2096;1693;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_1;MRJ;23/09/2021 15:45:01
#0000_2;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;461;271;219;1302;1300;5434;5632;562;648;5995;6280;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_2;MRJ;23/09/2021 15:45:07
#0000_3;Test Sample;24/06/2016;Station...;Location...;56.149375;10.212404;Name...;NaN;;628;161;89;753;448;4863;1983;230;362;5093;2274;2000;50;100;8;\images\Expo_2000_Ap_8\Test Sample\#0000\#0000_3;MRJ;23/09/2021 15:45:27
